driverId,constructorId,grid,year,points,winner
1,1,18,2009,0.0,0
5,1,12,2009,0.0,0
6,3,11,2009,0.0,0
12,4,14,2009,0.0,0
13,6,6,2009,0.0,0
8,6,7,2009,0.0,0
9,2,4,2009,0.0,0
2,2,9,2009,0.0,0
7,5,17,2009,1.0,0
3,3,5,2009,3.0,0
4,4,10,2009,4.0,0
10,7,19,2009,5.0,0
5,1,14,2009,0.0,0
9,2,6,2009,0.0,0
8,6,7,2009,0.0,0
12,4,17,2009,0.0,0
6,3,11,2009,0.0,0
4,4,9,2009,0.0,0
7,5,15,2009,0.0,0
13,6,16,2009,0.0,0
3,3,4,2009,0.5,0
1,1,12,2009,1.0,0
10,7,3,2009,3.0,0
2,2,10,2009,4.0,0
13,6,13,2009,0.0,0
6,3,14,2009,0.0,0
12,4,16,2009,0.0,0
3,3,7,2009,0.0,0
9,2,17,2009,0.0,0
2,2,11,2009,0.0,0
7,5,15,2009,0.0,0
8,6,8,2009,0.0,0
4,4,2,2009,0.0,0
10,7,19,2009,2.0,0
1,1,9,2009,3.0,0
5,1,12,2009,4.0,0
6,3,12,2009,0.0,0
2,2,14,2009,0.0,0
9,2,13,2009,0.0,0
13,6,8,2009,0.0,0
7,5,20,2009,0.0,0
5,1,11,2009,0.0,0
12,4,15,2009,0.0,0
3,3,9,2009,0.0,0
4,4,7,2009,1.0,0
10,7,2,2009,2.0,0
8,6,10,2009,3.0,0
1,1,5,2009,5.0,0
7,5,17,2009,0.0,0
5,1,18,2009,0.0,0
8,6,16,2009,0.0,0
6,3,11,2009,0.0,0
12,4,12,2009,0.0,0
9,2,10,2009,0.0,0
10,7,6,2009,0.0,0
1,1,14,2009,0.0,0
3,3,9,2009,1.0,0
2,2,13,2009,2.0,0
13,6,4,2009,3.0,0
4,4,8,2009,4.0,0
12,4,12,2009,0.0,0
9,2,17,2009,0.0,0
5,1,7,2009,0.0,0
6,3,10,2009,0.0,0
1,1,19,2009,0.0,0
2,2,16,2009,0.0,0
10,7,20,2009,0.0,0
7,5,14,2009,1.0,0
4,4,9,2009,2.0,0
3,3,6,2009,3.0,0
13,6,5,2009,5.0,0
8,6,2,2009,6.0,0
7,5,20,2009,0.0,0
12,4,17,2009,0.0,0
5,1,14,2009,0.0,0
1,1,16,2009,0.0,0
6,3,12,2009,0.0,0
2,2,11,2009,0.0,0
4,4,8,2009,0.0,0
8,6,6,2009,0.0,0
10,7,13,2009,1.0,0
9,2,10,2009,2.0,0
13,6,7,2009,3.0,0
3,3,9,2009,4.0,0
5,1,13,2009,0.0,0
7,5,17,2009,0.0,0
1,1,18,2009,0.0,0
2,2,15,2009,0.0,0
4,4,10,2009,0.0,0
9,2,12,2009,0.0,0
12,4,14,2009,0.0,0
6,3,5,2009,0.0,0
10,7,8,2009,0.0,0
8,6,9,2009,1.0,0
3,3,7,2009,4.0,0
13,6,11,2009,5.0,0
7,5,19,2009,0.0,0
8,6,9,2009,0.0,0
1,1,5,2009,0.0,0
9,2,16,2009,0.0,0
12,4,10,2009,0.0,0
6,3,13,2009,0.0,0
2,2,11,2009,0.0,0
10,7,20,2009,0.0,0
5,1,6,2009,1.0,0
4,4,12,2009,2.0,0
3,3,15,2009,5.0,0
13,6,8,2009,6.0,0
13,6,0,2009,0.0,0
4,4,1,2009,0.0,0
9,2,18,2009,0.0,0
12,4,14,2009,0.0,0
2,2,15,2009,0.0,0
6,3,9,2009,0.0,0
10,7,13,2009,3.0,0
5,1,6,2009,4.0,0
3,3,5,2009,5.0,0
8,6,7,2009,8.0,0
1,1,4,2009,10.0,1
6,3,17,2009,0.0,0
10,7,13,2009,0.0,0
2,2,11,2009,0.0,0
9,2,10,2009,1.0,0
4,4,8,2009,3.0,0
3,3,7,2009,4.0,0
5,1,2,2009,5.0,0
8,6,6,2009,6.0,0
1,1,1,2009,8.0,0
1,1,12,2009,0.0,0
4,4,13,2009,0.0,0
6,3,18,2009,0.0,0
10,7,7,2009,0.0,0
3,3,10,2009,1.0,0
5,1,15,2009,3.0,0
2,2,3,2009,4.0,0
9,2,5,2009,5.0,0
8,6,6,2009,10.0,1
9,2,13,2009,0.0,0
3,3,18,2009,0.0,0
1,1,1,2009,0.0,0
10,7,16,2009,0.0,0
6,3,17,2009,0.0,0
2,2,15,2009,2.0,0
5,1,4,2009,3.0,0
4,4,8,2009,4.0,0
8,6,3,2009,6.0,0
2,2,20,2009,0.0,0
3,3,3,2009,0.0,0
8,6,12,2009,0.0,0
6,3,10,2009,0.0,0
9,2,7,2009,1.0,0
5,1,8,2009,2.0,0
4,4,5,2009,6.0,0
10,7,6,2009,8.0,0
1,1,1,2009,10.0,1
10,7,20,2009,0.0,0
6,3,15,2009,0.0,0
5,1,11,2009,0.0,0
4,4,16,2009,0.0,0
9,2,9,2009,0.0,0
2,2,4,2009,3.0,0
3,3,7,2009,4.0,0
8,6,5,2009,5.0,0
1,1,3,2009,6.0,0
4,4,10,2009,0.0,0
2,2,18,2009,0.0,0
3,3,7,2009,0.0,0
6,3,9,2009,0.0,0
5,1,16,2009,0.0,0
8,6,5,2009,3.0,0
1,1,17,2009,6.0,0
9,2,8,2009,8.0,0
1,1,1,2009,0.0,0
4,4,15,2009,0.0,0
6,3,13,2009,0.0,0
8,6,11,2009,0.0,0
5,1,18,2009,0.0,0
9,2,7,2009,0.0,0
3,3,9,2009,0.0,0
2,2,8,2009,4.0,0
14,9,8,2008,0.0,0
13,6,4,2008,0.0,0
12,4,20,2008,0.0,0
11,8,19,2008,0.0,0
10,7,18,2008,0.0,0
9,2,2,2008,0.0,0
8,6,15,2008,1.0,0
7,5,17,2008,2.0,0
6,3,13,2008,3.0,0
5,1,3,2008,4.0,0
4,4,11,2008,5.0,0
3,3,7,2008,6.0,0
2,2,5,2008,8.0,0
1,1,1,2008,10.0,1
7,5,18,2008,0.0,0
10,7,10,2008,0.0,0
13,6,1,2008,0.0,0
6,3,22,2008,0.0,0
11,8,19,2008,0.0,0
3,3,16,2008,0.0,0
12,4,13,2008,0.0,0
14,9,12,2008,0.0,0
4,4,7,2008,1.0,0
2,2,5,2008,3.0,0
1,1,9,2008,4.0,0
5,1,8,2008,6.0,0
9,2,4,2008,8.0,0
8,6,2,2008,10.0,1
12,4,14,2008,0.0,0
14,9,17,2008,0.0,0
11,8,22,2008,0.0,0
7,5,15,2008,0.0,0
6,3,16,2008,0.0,0
1,1,3,2008,0.0,0
4,4,10,2008,0.0,0
10,7,13,2008,0.0,0
3,3,8,2008,1.0,0
5,1,5,2008,4.0,0
2,2,6,2008,5.0,0
9,2,1,2008,6.0,0
8,6,4,2008,8.0,0
